title,price,description,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Placa,Categoría,Marca,Modelo,Número de puertas,Tracción,Color,Número cilindros,link
Peugeot 5008 2018,25500.0,"Peugeot 5008 año de fabricación 2018 modelo 2018, 03 filas de asientos,06 bolsas de aire, aros 18 pulgadas, lunas eléctricas aire acondicionado climatizado bizonal, modos de manejo arena, barro y nieve, motor 1.6 turbo, todos los servicios en el conc...Ver más",2018,25800.0,Automática - Secuencial,Gasolina,1500.0,Par,Camionetas Suv,Peugeot,5008,5,4x2,Blanco,4,https://neoauto.com/auto/usado/peugeot-5008-2018-1695164
Ford Ranger 2022,34900.0,"FORD RANGER XLT 2022 FAB.021, TRACCION 4X4, MOTOR 3.2L PETROLERO, CAJA MECÁNICA, TACOMETRO DIGITAL, AMPLIA PANTALLA + CAMARA DE RETROCESO, AROS AMERICANOS, ESTRIBOS, BARRAS ANTIVUELCO CROMADAS, SEMINUEVA, Citas: 9 ✨ 9 ✨ 5 ✨ 6 ✨ 4 ✨9 ✨ 4 ✨ 0 ✨ 4",2022,35000.0,Mecánica,Diesel,3200.0,Impar,Pick Up,Ford,RANGER,5,4x4,Azul,5,https://neoauto.com/auto/usado/ford-ranger-2022-1695154
Mercedes Benz C63 Amg S 2017,64900.0,"★ ESPECTACULAR ★ 

MERCEDES BENZ C63s AMG BI-TURBO COUPE, 2017
Automático 7G-Tronic / PADDLE SHIFTERS
Motor 4.0L DOHC BI-TURBO

Solo 19,470 Kms de recorrido

510 Hp - 516 lb-ft. de Torque
0-100 Kms en 3.5 segs

.
$64,900 USD
Conversable Ver más",2017,19470.0,Automática - Secuencial,Gasolina,4000.0,Impar,Sedan,Mercedes Benz,C63 AMG S,2,Posterior,Gris Oscuro,8,https://neoauto.com/auto/usado/mercedes-benz-c63-amg-s-2017-1695138
Jeep Compass 2012,16900.0,"Jeep Compass Limited
- Año 2012
- Modelo 2012
- Versión Limited 4x4
- 29000 km
- Caja Automática/secuencial
- Asientos de cuero eléctricos
- Sunroof
- Llantas nuevas
- Unico dueño
- Mantenimientos en concesionario",2012,29000.0,Automática - Secuencial,Gasolina,2400.0,Impar,Camionetas Suv,Jeep,COMPASS,5,AWD,Plata,4,https://neoauto.com/auto/usado/jeep-compass-2012-1695125
Bmw 318i 2017,22500.0,"BMW 318 Modelo 2017, paquete Sport con asientos de butaca semi eléctricos deportivo. Aro 17, Llantas Pirelli Runflat NUEVAS. Faros Led. Auto Start/Stop. Espejos eléctricos. Lunas eléctricas. Transmisión Automática Secuencial Steptronic. Sensores de P...Ver más",2017,53000.0,Automática - Secuencial,Gasolina,1500.0,Par,Sedan,Bmw,318i,4,Posterior,Blanco,,https://neoauto.com/auto/usado/bmw-318i-2017-1572772
Changhe M50s 2020,10500.0,"Ocasión se vende mini van de tres filas 8 asientos año y modelo 2020 mecánica motor 1400cc 4 cilindros, súper económica. full equipo , aire acondicionado, lunas eléctricas, Cámara de retroceso . Un sólo dueño uso exclusivamente familiar con servicios...Ver más",2020,35000.0,Mecánica,Gasolina,1400.0,Impar,Camionetas Suv,Changhe,M50S,5,4x2,Rojo,4,https://neoauto.com/auto/usado/changhe-m50s-2020-1695078
Honda Pilot 2014,22500.0,HONDA PAILOT VERSIÓN EXL AÑO 2014/CAMIONETA SUV IMPECABLE/COLOR GRIS OSCURO/MOTOR A GASOLINA/IVTEC 3.5L V6 CON 253 HP / TORQUE 343 NM/TRANSMISIÓN AUTOMÁTICA DE 5 VELOCIDADES/TRACCIÓN 4X4/FRENOS DE DISCO EN LAS 4 RUEDAS CON ABS/SISTEMA DE CONTROL DE E...Ver más,2014,69000.0,Automática,Gasolina,3600.0,Par,Camionetas Suv,Honda,PILOT,5,4x4,Gris Oscuro,6,https://neoauto.com/auto/usado/honda-pilot-2014-1695038
Maserati Ghibli 2019,59000.0,"MASERATI GHIBLI VERSIÓN LUXURY 3.0 BT SOFT V6 2WD 350 HP SALPICADERO PARTE ALTA CUERO, ASIENTOS DELANTEROS AJUSTABLES CALEFACTABLES ELÉCTRICAMENTE, CIERRE ELÉCTRICO DEL MALETERO CON SENSOR PIE,CÁMARA TRASERA PARA APARCAMIENTO CON REJILLAS DINÁMICAS, Ver más",2019,19760.0,Automática - Secuencial,Gasolina,3000.0,Par,Sedan,Maserati,GHIBLI,4,4x2,Azul,6,https://neoauto.com/auto/usado/maserati-ghibli-2019-1679281
Toyota Rush 2019,20200.0,- Kilometraje 55954 - Año de fabricación 2019 - Año de modelo 2020 - Boton de encendido - Apertura de puerta a distancia por sensor - 2 llaves - Asientos en tela - 3 filas de asientos - Caja Automatica - Motor 1.5 mpi - Camara de retroceso + sensores...Ver más,2019,55954.0,Automática - Secuencial,Gasolina,1500.0,,Camionetas Suv,Toyota,RUSH,5,4x2,Plata,4,https://neoauto.com/auto/usado/toyota-rush-2019-1688049
Chevrolet Tracker 2022,18990.0,GRUPO ALESE SEMINUEVOS PONE A LA VENTA -CHEVROLET TRACKER 1.2TURBO LTZ MT III: Kilometraje 2562 - Año de fabricación 2022 - Año de modelo 2022 - Boton de encendido - Apertura de puerta a distancia por sensor - 2 llaves - Asientos en tela y cuero - Ca...Ver más,2022,2562.0,Mecánica,Gasolina,1200.0,,Camionetas Suv,Chevrolet,TRACKER,5,4x2,Rojo,4,https://neoauto.com/auto/usado/chevrolet-tracker-2022-1694186
