,price,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Categoría,Marca,Tracción,Número cilindros,link,cluster
0,25500.0,2018.0,25800.0,Automática - Secuencial,Gasolina,1500.0,Camionetas Suv,Peugeot,4x2,4.0,https://neoauto.com/auto/usado/peugeot-5008-2018-1695164,3
1,16900.0,2012.0,29000.0,Automática - Secuencial,Gasolina,2400.0,Camionetas Suv,Jeep,AWD,4.0,https://neoauto.com/auto/usado/jeep-compass-2012-1695125,1
2,22500.0,2017.0,53000.0,Automática - Secuencial,Gasolina,1500.0,Sedan,Bmw,Posterior,4.0,https://neoauto.com/auto/usado/bmw-318i-2017-1572772,3
3,10500.0,2020.0,35000.0,Mecánica,Gasolina,1400.0,Camionetas Suv,Changhe,4x2,4.0,https://neoauto.com/auto/usado/changhe-m50s-2020-1695078,3
4,20200.0,2019.0,55954.0,Automática - Secuencial,Gasolina,1500.0,Camionetas Suv,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-rush-2019-1688049,3
5,18990.0,2022.0,2562.0,Mecánica,Gasolina,1200.0,Camionetas Suv,Chevrolet,4x2,4.0,https://neoauto.com/auto/usado/chevrolet-tracker-2022-1694186,3
6,14200.0,2017.0,30539.0,Mecánica,Gasolina,1800.0,Camionetas Suv,Chevrolet,4x2,4.0,https://neoauto.com/auto/usado/chevrolet-tracker-2017-1691879,3
7,19000.0,2020.0,2500.0,Automática,Gas GLP,1800.0,Camionetas Suv,Chevrolet,4x4,4.0,https://neoauto.com/auto/usado/chevrolet-tracker-2020-1647813,3
8,12990.0,2018.0,33000.0,Mecánica,Gasolina,1800.0,Vans,Chevrolet,4x2,4.0,https://neoauto.com/auto/usado/chevrolet-spin-active-2018-1691797,3
9,31000.0,2020.0,11000.0,Automática - Secuencial,Gasolina,1600.0,Camionetas Suv,Mercedes Benz,4x2,4.0,https://neoauto.com/auto/usado/mercedes-benz-gla-180-2020-1686170,2
10,13790.0,2016.0,40853.0,Mecánica,Gasolina,1800.0,Camionetas Suv,Chevrolet,4x2,4.0,https://neoauto.com/auto/usado/chevrolet-tracker-2016-1691793,3
11,20490.0,2022.0,6927.0,Automática - Secuencial,Gasolina,1500.0,Camionetas Suv,Suzuki,4x4,4.0,https://neoauto.com/auto/usado/suzuki-jimny-2022-1690996,3
12,22900.0,2022.0,300.0,Mecánica,Gasolina,1500.0,Camionetas Suv,Chevrolet,4x2,4.0,https://neoauto.com/auto/usado/chevrolet-captiva-2022-1694271,3
13,25200.0,2020.0,60000.0,Automática - Secuencial,Gas GLP,2000.0,Camionetas Suv,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-sportage-2020-1690166,2
14,18900.0,2022.0,180.0,Mecánica,Gasolina,1200.0,Camionetas Suv,Chevrolet,4x2,4.0,https://neoauto.com/auto/usado/chevrolet-tracker-2022-1693733,3
15,18800.0,2020.0,5316.0,Automática - Secuencial,Gasolina,1451.0,Camionetas Suv,Chevrolet,4x2,4.0,https://neoauto.com/auto/usado/chevrolet-captiva-2020-1691650,3
16,13490.0,2020.0,16000.0,Automática,Gasolina,1200.0,Hatchback,Kia,Delantera,4.0,https://neoauto.com/auto/usado/kia-picanto-2020-1695026,3
17,13500.0,2018.0,40476.0,Mecánica,Gasolina,1329.0,Sedan,Toyota,Delantera,4.0,https://neoauto.com/auto/usado/toyota-yaris-2018-1695017,3
18,28900.0,2019.0,139744.0,Mecánica,Diesel,2800.0,Pick Up,Toyota,4x4,4.0,https://neoauto.com/auto/usado/toyota-hilux-2019-1695006,1
